"eventid","eventname","eventcountry","surface","totprizemoney"
747,Beijing,China,Hard,4016050
7581,Chengdu,China,Hard,1190210
336,Hong Kong,Hong Kong,Hard,680140
6242,Winston-Salem,"NC, U.S.A.",Hard,798335
319,Kitzbuhel,Austria,Clay,596035
8994,Mallorca,Spain,Grass,596035
311,London / Queen's Club,Great Britain,Grass,2522220
440,'s-Hertogenbosch,Netherlands,Grass,706850
414,Hamburg,Germany,Clay,2158560
308,Munich,Germany,Clay,2500000
4462,Bucharest,Romania,Clay,596035
495,Dubai,U.A.E.,Hard,3237670
451,Doha,Qatar,Hard,2760000
407,Rotterdam,Netherlands,Hard,2401550
8998,Adelaide,Australia,Hard,680140
418,Washington,"DC, U.S.A.",Hard,2396115
321,Stuttgart,Germany,Grass,751630
301,Auckland,New Zealand,Hard,680140
339,Brisbane,Australia,Hard,680140
328,Basel,Switzerland,Hard,2523045
7485,Brussels,Belgium,Hard,706850
4713,Hangzhou,China,Hard,1019185
314,Gstaad,Switzerland,Clay,596035
807,Acapulco,Mexico,Hard,2585410
375,Montpellier,France,Hard,596035
341,Metz,France,Hard,596035
429,Stockholm,Sweden,Hard,706850
741,Eastbourne,Great Britain,Grass,756875
500,Halle,Germany,Grass,2522220
360,Marrakech,Morocco,Clay,596035
496,Marseille,France,Hard,740730
5100,Athens,Greece,Hard,766715
322,Geneva,Switzerland,Clay,596035
499,Delray Beach,"FL, U.S.A.",Hard,680140
424,Dallas,"TX, U.S.A.",Hard,2760000
6932,Rio de Janeiro,Brazil,Clay,2396115
506,Buenos Aires,Argentina,Clay,658390
9410,Almaty,Kazakhstan,Hard,1055255
329,Tokyo,Japan,Hard,2226470
7480,Los Cabos,Mexico,Hard,889890
439,Umag,Croatia,Clay,596035
425,Barcelona,Spain,Clay,2889200
337,Vienna,Austria,Hard,2736875
8996,Santiago,Chile,Clay,680140
717,Houston,"TX, U.S.A.",Clay,680140
316,Bastad,Sweden,Clay,596035
